"name","region","country","date","Value"
Death Cases,Latin America & The Caribbean,Cuba,2021-03-01 00:00:00,2.0000
Death Cases,Europe & Central Asia,Croatia,2021-03-01 00:00:00,11.0000
Death Cases,Sub-Saharan Africa,Cote d'Ivoire,2021-03-01 00:00:00,1.0000
Death Cases,Latin America & The Caribbean,Costa Rica,2021-03-01 00:00:00,12.0000
Death Cases,Sub-Saharan Africa,Congo (Kinshasa),2021-03-01 00:00:00,0.0000
Confirmed Cases,Europe & Central Asia,Slovakia,2021-03-01 00:00:00,842.0000
Confirmed Cases,Europe & Central Asia,Slovenia,2021-03-01 00:00:00,243.0000
Confirmed Cases,East Asia & Pacific,Solomon Islands,2021-03-01 00:00:00,0.0000
Confirmed Cases,Sub-Saharan Africa,Somalia,2021-03-01 00:00:00,135.0000
Confirmed Cases,Sub-Saharan Africa,South Africa,2021-03-01 00:00:00,566.0000
Confirmed Cases,Sub-Saharan Africa,South Sudan,2021-03-01 00:00:00,84.0000
Confirmed Cases,Europe & Central Asia,Spain,2021-03-01 00:00:00,15978.0000
Confirmed Cases,South Asia,Sri Lanka,2021-03-01 00:00:00,458.0000
Confirmed Cases,Sub-Saharan Africa,Sudan,2021-03-01 00:00:00,17.0000
Confirmed Cases,Latin America & The Caribbean,Suriname,2021-03-01 00:00:00,4.0000
Confirmed Cases,Europe & Central Asia,Sweden,2021-03-01 00:00:00,0.0000
Confirmed Cases,Europe & Central Asia,Switzerland,2021-03-01 00:00:00,2560.0000
Confirmed Cases,Middle East & North Africa,Syria,2021-03-01 00:00:00,54.0000
Confirmed Cases,East Asia & Pacific,Taiwan,2021-03-01 00:00:00,0.0000
Confirmed Cases,Europe & Central Asia,Tajikistan,2021-03-01 00:00:00,0.0000
Confirmed Cases,Sub-Saharan Africa,Tanzania,2021-03-01 00:00:00,0.0000
Confirmed Cases,East Asia & Pacific,Thailand,2021-03-01 00:00:00,0.0000
Confirmed Cases,East Asia & Pacific,Timor-Leste,2021-03-01 00:00:00,0.0000
Confirmed Cases,Sub-Saharan Africa,Togo,2021-03-01 00:00:00,32.0000
Confirmed Cases,Latin America & The Caribbean,Trinidad and Tobago,2021-03-01 00:00:00,3.0000
Confirmed Cases,Middle East & North Africa,Tunisia,2021-03-01 00:00:00,392.0000
Confirmed Cases,Europe & Central Asia,Turkey,2021-03-01 00:00:00,9891.0000
Confirmed Cases,North America,US,2021-03-01 00:00:00,58887.0000
Confirmed Cases,Sub-Saharan Africa,Uganda,2021-03-01 00:00:00,10.0000
Confirmed Cases,Europe & Central Asia,Ukraine,2021-03-01 00:00:00,4406.0000
Confirmed Cases,Middle East & North Africa,United Arab Emirates,2021-03-01 00:00:00,2526.0000
Confirmed Cases,Europe & Central Asia,United Kingdom,2021-03-01 00:00:00,5462.0000
Confirmed Cases,Latin America & The Caribbean,Uruguay,2021-03-01 00:00:00,595.0000
Confirmed Cases,Europe & Central Asia,Uzbekistan,2021-03-01 00:00:00,0.0000
Confirmed Cases,East Asia & Pacific,Vanuatu,2021-03-01 00:00:00,0.0000
Confirmed Cases,Latin America & The Caribbean,Venezuela,2021-03-01 00:00:00,429.0000
Confirmed Cases,East Asia & Pacific,Vietnam,2021-03-01 00:00:00,0.0000
Confirmed Cases,Middle East & North Africa,West Bank and Gaza,2021-03-01 00:00:00,1724.0000
Confirmed Cases,Middle East & North Africa,Yemen,2021-03-01 00:00:00,25.0000
Confirmed Cases,Sub-Saharan Africa,Zambia,2021-03-01 00:00:00,468.0000
Confirmed Cases,Sub-Saharan Africa,Zimbabwe,2021-03-01 00:00:00,26.0000
Death Cases,Sub-Saharan Africa,Congo (Brazzaville),2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Comoros,2021-03-01 00:00:00,0.0000
Death Cases,Latin America & The Caribbean,Colombia,2021-03-01 00:00:00,100.0000
Death Cases,East Asia & Pacific,China,2021-03-01 00:00:00,1.0000
Death Cases,Latin America & The Caribbean,Chile,2021-03-01 00:00:00,88.0000
Death Cases,Sub-Saharan Africa,Chad,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Central African Republic,2021-03-01 00:00:00,0.0000
Death Cases,North America,Canada,2021-03-01 00:00:00,24.0000
